DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
10335,334,10335,3.022210559303435,0,-13.629806565809151,0,0,2,2
10336,335,10336,3.0137793598154126,0,-118.60708567275962,0,0,2,2
10337,336,10337,3.013779359815411,0,-562949953421312.0,0,0,2,2
10338,337,10338,3.0137793598154126,0,562949953421312.0,0,0,2,2
10339,338,10339,3.0137793598154126,0,90000000000,0,0,2,2
10340,339,10340,3.0137793598154126,0,90000000000,0,0,2,2
10341,340,10341,3.013779359815424,0,86607685141740.31,0,0,2,2
10342,341,10342,3.0137793598154126,0,-86607685141740.31,0,0,2,2
10343,342,10343,3.0137793598154126,0,90000000000,0,0,2,2
10344,343,10344,3.0137793598154126,0,90000000000,0,0,2,2
10345,344,10345,3.013779359815411,0,-562949953421312.0,0,0,2,2
10346,345,10346,3.0137793598154126,0,562949953421312.0,0,0,2,2
10347,346,10347,3.0137793598154126,0,90000000000,0,0,2,2
10348,347,10348,3.013779359815411,0,-562949953421312.0,0,0,2,2
10349,348,10349,3.0137793598154126,0,562949953421312.0,0,0,2,2
10350,349,10350,3.0137793598154126,0,90000000000,0,0,2,2
10351,350,10351,3.013779359815426,0,75059993789508.27,0,0,2,2
10352,351,10352,3.013779359815411,0,-66229406284860.234,0,0,2,2
10353,352,10353,3.0137793598154126,0,562949953421312.0,0,0,2,2
10354,353,10354,3.0137793598154126,0,90000000000,0,0,2,2
10355,354,10355,3.013779359815411,0,-562949953421312.0,0,0,2,2
10356,355,10356,3.0137793598154126,0,562949953421312.0,0,0,2,2
10357,356,10357,3.046187691295053,0,30.85626301459615,0,0,2,2
10358,357,10358,3.1144148809044503,0,14.656913258849286,0,0,2,2
10359,358,10359,3.1144148809044503,0,90000000000,0,0,2,2
10360,359,10360,3.137012532849911,0,44.252385266110124,0,0,2,2
10361,360,10361,3.140749809579191,0,267.57451279043033,0,0,2,2
10362,361,10362,3.140749809579191,0,90000000000,0,0,2,2
10363,362,10363,3.1407498095791766,0,-70368744177664.0,0,0,2,2
10364,363,10364,3.140749809579191,0,70368744177664.0,0,0,2,2
10365,364,10365,3.140749809579191,0,90000000000,0,0,2,2
10366,365,10366,3.140749809579191,0,90000000000,0,0,2,2
10367,366,10367,3.140749809579191,0,90000000000,0,0,2,2
10368,367,10368,3.140749809579191,0,90000000000,0,0,2,2
10369,368,10369,3.1407498095791766,0,-70368744177664.0,0,0,2,2
10370,369,10370,3.140749809579191,0,70368744177664.0,0,0,2,2
10371,370,10371,3.140749809579191,0,90000000000,0,0,2,2
10372,371,10372,3.140749809579191,0,90000000000,0,0,2,2
10373,372,10373,3.140749809579191,0,90000000000,0,0,2,2
10374,373,10374,3.1407498095791766,0,-70368744177664.0,0,0,2,2
10375,374,10375,3.140749809579191,0,70368744177664.0,0,0,2,2
10376,375,10376,3.140749809579191,0,90000000000,0,0,2,2
10377,376,10377,3.140749809579191,0,90000000000,0,0,2,2
10378,377,10378,3.140749809579191,0,90000000000,0,0,2,2
10379,378,10379,3.1407498095791766,0,-70368744177664.0,0,0,2,2
10380,379,10380,3.140749809579191,0,70368744177664.0,0,0,2,2
10381,380,10381,3.140749809579191,0,90000000000,0,0,2,2
10382,381,10382,3.140749809579191,0,90000000000,0,0,2,2
10383,382,10383,3.140749809579191,0,90000000000,0,0,2,2
10384,383,10384,3.1407498095791766,0,-70368744177664.0,0,0,2,2
10385,384,10385,3.140749809579191,0,70368744177664.0,0,0,2,2
10386,385,10386,3.140749809579191,0,90000000000,0,0,2,2
10387,386,10387,3.140749809579191,0,90000000000,0,0,2,2
10388,387,10388,3.140749809579191,0,90000000000,0,0,2,2
10389,388,10389,3.140749809579191,0,90000000000,0,0,2,2
10390,389,10390,3.1407498095791766,0,-70368744177664.0,0,0,2,2
10391,390,10391,3.140749809579191,0,70368744177664.0,0,0,2,2
10392,391,10392,3.140749809579191,0,90000000000,0,0,2,2
10393,392,10393,3.140749809579191,0,90000000000,0,0,2,2
10394,393,10394,3.140749809579191,0,90000000000,0,0,2,2
10395,394,10395,3.1407498095791766,0,-70368744177664.0,0,0,2,2
10396,395,10396,3.140749809579191,0,70368744177664.0,0,0,2,2
10397,396,10397,3.140749809579191,0,90000000000,0,0,2,2
10398,397,10398,3.140749809579191,0,90000000000,0,0,2,2
10399,398,10399,3.140749809579191,0,90000000000,0,0,2,2
10400,399,10400,3.140749809579191,0,90000000000,0,0,2,2
10401,400,10401,3.1407498095791766,0,-70368744177664.0,0,0,2,2
10402,401,10402,3.140749809579191,0,70368744177664.0,0,0,2,2
10403,402,10403,3.140749809579191,0,90000000000,0,0,2,2
